pitcher,player_name,p_throws,w_lhh,n_lhh,n_rhh,best_delta_in,gain_stuff,gain_stuff_vs_lhh,gain_stuff_vs_rhh,room_fb,room_tb,rel_own_p95,best_delta_in_in_support,gain_stuff_in_support,room_source,validation
623474,"Herget, Jimmy",R,0.458770614692654,85,113,-27,8.21608610870433,4.03830009964604,11.7573673241388,8.56848421328444,27.4315157867156,4.176,-4,0.448915491649089,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
669062,"Miller, Erik",L,0.404600811907984,90,150,28,7.8196228985954,6.30754257691007,8.8471502081043,28.1578610720225,7.84213892797748,6.312,0,0,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
677958,"Rocker, Kumar",R,0.564790913784202,496,407,-28,7.52307166569821,3.8625392699182,12.2735134699489,7.50749359052618,28.4925064094738,2.41200000000001,-1,0.0533377068214714,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
667755,"Soriano, José",R,0.546827794561934,539,451,-32,7.15638869868619,3.69731487205095,11.3303377828261,3.64208351158024,32.3579164884198,4.158,-4,0.175346522940548,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
682120,"Herrin, Tim",L,0.456164383561644,95,129,24,6.95756683735045,5.85009060857615,7.88650785544074,24.91372106915,11.08627893085,3.87149999999999,-3,0.200698807587196,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
667297,"Nance, Tommy",R,0.504881450488145,78,79,-27,6.88872955046947,4.35318246285205,9.474273341223,8.64589482795931,27.3541051720407,3.81,-3,0.743088331268455,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
694297,"Pfaadt, Brandon",R,0.563806777217015,360,264,-30,6.6338247360782,5.13475974411184,8.57145915544629,5.60903251332577,30.3909674866742,10.38,-10,0.538417167607081,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
662253,"Muñoz, Andrés",R,0.58148631029987,151,123,-25,6.39075002442547,3.40180771688641,10.5436106760218,10.2258713176022,25.7741286823978,8.529,-8,1.04167989619285,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
642397,"Soto, Gregory",L,0.323788546255507,85,235,26,6.25886777838208,6.73607741291582,6.0303667481656,26.5154748451098,9.48452515489016,5.04,-4,0.355539817420585,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
681895,"Sisk, Evan",L,0.472409152086137,108,146,23,6.10822902086272,7.48179484993411,4.87832696472992,23.1685097636177,12.8314902363823,2.625,2,0.446983636769768,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
656529,"Hentges, Sam",L,0.528028933092224,103,98,25,5.8747362519663,5.0641119548992,6.78164159581149,25.5638923630789,10.4361076369211,2.682,2,0.0135119970989772,phase 5 measured,"CONSISTENT BUT UNDERPOWERED: measured slope matches the model in sign and size, but neither is separable from zero"
